Date/Time,V10,D10,V70,D70,V80,D80
2019-02-08_01:00:00,9.910,62.1,10.523,301.0,10.807,51.6
2019-02-08_02:00:00,10.425,63.7,11.448,302.8,11.683,53.3
2019-02-08_03:00:00,10.481,59.7,11.585,300.2,11.819,50.8
2019-02-08_04:00:00,9.861,60.3,10.940,301.4,11.098,52.3
2019-02-08_05:00:00,10.551,57.3,11.434,298.1,11.714,48.4
2019-02-08_06:00:00,11.194,57.2,12.657,296.6,12.984,46.6
2019-02-08_07:00:00,10.057,56.3,11.120,297.7,11.378,48.2
2019-02-08_08:00:00,9.713,56.7,10.709,297.7,10.997,48.0
2019-02-08_09:00:00,9.749,56.2,11.222,294.9,11.533,45.0
2019-02-08_10:00:00,9.368,56.7,10.274,297.1,10.489,47.6
2019-02-08_11:00:00,8.994,56.4,10.493,295.9,10.726,46.6
2019-02-08_12:00:00,9.857,54.9,10.964,296.2,11.150,46.8
2019-02-08_13:00:00,7.717,52.5,9.244,289.9,9.506,40.2
2019-02-08_14:00:00,7.959,54.0,9.650,290.1,10.012,40.2
2019-02-08_15:00:00,7.251,52.3,8.514,287.5,8.805,38.0
2019-02-08_16:00:00,6.997,52.0,8.112,287.1,8.465,37.8
2019-02-08_17:00:00,6.826,51.1,7.869,286.3,8.145,36.5
2019-02-08_18:00:00,5.694,50.0,6.342,283.8,6.647,33.7
2019-02-08_19:00:00,5.828,50.0,6.597,284.6,6.891,35.1
2019-02-08_20:00:00,6.623,49.0,7.732,284.5,8.089,34.8
2019-02-08_21:00:00,5.917,50.4,6.806,285.6,7.201,36.3
2019-02-08_22:00:00,6.249,54.4,7.426,292.4,7.789,42.7
2019-02-08_23:00:00,6.096,53.4,7.057,293.5,7.350,44.3
2019-02-09_00:00:00,5.997,61.9,6.284,303.6,6.535,55.2
2019-02-09_01:00:00,6.915,60.6,7.411,301.8,7.602,52.7
2019-02-09_02:00:00,7.690,63.9,8.257,303.9,8.510,55.0
2019-02-09_03:00:00,8.247,62.9,8.966,303.7,9.233,55.0
2019-02-09_04:00:00,9.444,62.9,10.382,302.7,10.580,53.9
2019-02-09_05:00:00,10.135,61.9,11.340,302.0,11.521,52.9
2019-02-09_06:00:00,9.611,61.5,10.300,301.0,10.556,51.9
2019-02-09_07:00:00,9.674,61.9,10.628,300.7,10.861,51.8
2019-02-09_08:00:00,10.073,59.3,11.544,296.9,11.821,47.5
2019-02-09_09:00:00,10.579,57.4,11.873,298.7,12.123,49.4
2019-02-09_10:00:00,9.952,59.1,11.394,299.8,11.650,50.5
2019-02-09_11:00:00,9.793,63.7,10.988,303.1,11.130,54.1
2019-02-09_12:00:00,10.899,66.7,12.293,305.7,12.533,56.6
2019-02-09_13:00:00,10.636,66.5,12.001,304.4,12.187,55.3
2019-02-09_14:00:00,9.429,61.5,10.152,301.7,10.357,53.2
2019-02-09_15:00:00,10.322,63.5,11.303,303.5,11.516,54.6
2019-02-09_16:00:00,10.965,63.9,11.939,303.0,12.136,53.8
2019-02-09_17:00:00,10.766,58.2,12.252,299.1,12.536,50.0
2019-02-09_18:00:00,11.031,58.0,12.781,297.4,13.122,47.9
2019-02-09_19:00:00,10.001,58.0,11.633,296.6,11.922,47.2
2019-02-09_20:00:00,10.559,59.2,11.579,299.8,11.815,50.6
2019-02-09_21:00:00,10.900,57.2,12.648,297.7,12.871,48.6
2019-02-09_22:00:00,9.966,59.0,11.386,298.4,11.659,49.0
2019-02-09_23:00:00,9.989,57.9,11.439,297.4,11.646,48.1
2019-02-10_00:00:00,10.787,57.0,12.490,297.2,12.811,47.6
2019-02-10_01:00:00,10.681,58.0,11.991,298.0,12.289,48.2
2019-02-10_02:00:00,9.723,55.9,10.663,295.1,10.987,45.4
2019-02-10_03:00:00,8.956,56.1,9.586,288.7,9.810,38.2
2019-02-10_04:00:00,8.879,57.2,9.642,291.5,9.908,40.7
2019-02-10_05:00:00,8.769,56.9,9.486,292.4,9.710,42.1
2019-02-10_06:00:00,7.759,56.4,8.323,293.9,8.623,43.6
2019-02-10_07:00:00,7.986,56.8,8.467,295.6,8.728,45.5
2019-02-10_08:00:00,7.664,54.7,8.677,289.6,8.989,39.6
2019-02-10_09:00:00,7.641,55.5,8.615,289.3,9.068,39.5
2019-02-10_10:00:00,7.334,53.8,8.824,289.4,9.157,39.7
2019-02-10_11:00:00,7.107,54.6,8.050,291.1,8.420,41.7
2019-02-10_12:00:00,7.087,53.7,8.719,292.3,9.113,42.7
2019-02-10_13:00:00,6.620,57.3,7.097,297.9,7.251,49.2
2019-02-10_14:00:00,7.438,55.0,8.331,296.8,8.523,47.4
2019-02-10_15:00:00,8.701,55.0,9.821,295.3,10.069,45.6
2019-02-10_16:00:00,9.099,54.5,10.133,294.7,10.377,45.2
2019-02-10_17:00:00,8.941,54.3,10.139,294.3,10.466,44.5
2019-02-10_18:00:00,7.951,56.4,8.955,296.8,9.192,47.8
2019-02-10_19:00:00,7.575,68.8,7.902,305.5,8.189,56.5
2019-02-10_20:00:00,6.755,67.3,7.334,304.9,7.572,55.7
2019-02-10_21:00:00,6.915,67.0,7.483,306.4,7.752,57.5
2019-02-10_22:00:00,7.667,66.0,8.483,304.4,8.746,55.4
2019-02-10_23:00:00,7.585,65.8,8.230,304.1,8.394,55.1
2019-02-11_00:00:00,7.210,66.3,8.091,304.9,8.397,56.0
2019-02-11_01:00:00,7.618,64.1,8.061,303.8,8.305,55.0
2019-02-11_02:00:00,8.308,63.0,8.906,303.5,9.172,54.5
2019-02-11_03:00:00,8.805,64.1,9.289,302.4,9.525,53.6
2019-02-11_04:00:00,8.918,62.6,9.402,300.8,9.718,51.8
2019-02-11_05:00:00,8.654,63.7,9.171,302.0,9.442,53.1
2019-02-11_06:00:00,9.109,65.9,9.632,304.2,9.838,55.1
2019-02-11_07:00:00,9.221,63.2,9.913,303.3,10.104,54.4
2019-02-11_08:00:00,8.634,65.5,9.060,305.5,9.294,56.7
2019-02-11_09:00:00,10.081,65.7,11.069,303.0,11.316,53.5
2019-02-11_10:00:00,9.337,66.3,10.456,304.9,10.615,56.1
2019-02-11_11:00:00,8.601,65.0,9.773,303.1,10.028,54.1
2019-02-11_12:00:00,8.832,60.6,10.403,300.1,10.630,51.1
2019-02-11_13:00:00,9.376,56.1,10.702,297.4,10.939,48.0
2019-02-11_14:00:00,9.719,54.5,11.410,296.0,11.682,46.6
2019-02-11_15:00:00,8.666,55.1,9.946,291.4,10.228,41.4
2019-02-11_16:00:00,8.247,54.6,9.742,288.6,10.067,38.4
2019-02-11_17:00:00,8.081,52.3,9.632,286.8,10.000,36.8
2019-02-11_18:00:00,7.740,49.9,9.406,286.8,9.714,37.0
2019-02-11_19:00:00,7.968,50.8,9.537,286.9,9.898,37.0
2019-02-11_20:00:00,7.653,47.0,9.356,283.2,9.677,32.7
2019-02-11_21:00:00,7.771,45.1,9.378,283.1,9.802,32.6
2019-02-11_22:00:00,8.129,47.5,9.494,283.1,9.862,33.0
2019-02-11_23:00:00,6.845,50.2,8.396,285.4,8.748,35.4
2019-02-12_00:00:00,6.671,49.2,8.351,286.1,8.772,36.1
2019-02-12_01:00:00,7.358,51.3,7.958,285.3,8.238,35.0
2019-02-12_02:00:00,6.360,52.6,6.587,285.4,6.776,34.6
2019-02-12_03:00:00,6.052,50.9,6.346,282.9,6.550,32.0
2019-02-12_04:00:00,5.887,49.7,6.197,282.1,6.477,31.4
2019-02-12_05:00:00,5.751,50.4,5.954,283.5,6.152,32.8
2019-02-12_06:00:00,5.254,50.0,5.513,288.1,5.650,38.0
2019-02-12_07:00:00,5.621,61.8,5.809,298.9,5.916,48.5
2019-02-12_08:00:00,3.789,70.2,3.942,310.2,4.022,61.6
2019-02-12_09:00:00,3.368,105.2,4.167,339.5,4.203,91.0
2019-02-12_10:00:00,3.277,78.4,4.031,322.3,4.090,73.9
2019-02-12_11:00:00,2.306,87.9,3.160,332.6,3.217,84.0
2019-02-12_12:00:00,2.150,78.0,3.024,330.5,3.045,82.5
2019-02-12_13:00:00,2.232,80.3,3.333,331.6,3.462,83.9
2019-02-12_14:00:00,2.365,68.0,3.287,311.1,3.474,62.6
2019-02-12_15:00:00,1.688,52.9,3.130,292.6,3.382,43.8
2019-02-12_16:00:00,2.063,53.2,2.837,294.1,3.030,44.5
2019-02-12_17:00:00,3.003,41.6,3.580,286.3,3.826,37.4
2019-02-12_18:00:00,3.761,35.1,3.849,280.8,4.075,32.2
2019-02-12_19:00:00,3.033,31.8,2.951,286.6,3.081,35.2
2019-02-12_20:00:00,3.297,33.6,3.853,290.8,3.987,42.1
2019-02-12_21:00:00,3.339,52.9,3.618,311.4,3.676,63.8
2019-02-12_22:00:00,3.437,73.2,5.026,328.3,5.223,81.8
2019-02-12_23:00:00,3.286,65.3,3.865,311.4,3.987,63.4
2019-02-13_00:00:00,5.489,66.5,5.964,306.3,6.061,57.5
2019-02-13_01:00:00,7.311,63.9,8.152,304.2,8.405,55.6
2019-02-13_02:00:00,6.968,64.7,7.466,303.8,7.669,55.3
2019-02-13_03:00:00,8.250,60.7,8.822,301.5,9.011,52.4
2019-02-13_04:00:00,7.158,71.2,7.729,309.2,7.848,60.4
2019-02-13_05:00:00,7.671,66.8,8.174,305.9,8.366,57.2
2019-02-13_06:00:00,7.424,65.6,7.632,304.0,7.800,55.0
2019-02-13_07:00:00,7.393,66.7,7.813,303.9,7.960,55.0
2019-02-13_08:00:00,7.804,63.9,8.783,301.0,8.966,52.2
2019-02-13_09:00:00,8.754,59.4,9.719,300.5,10.085,51.6
2019-02-13_10:00:00,8.481,62.3,9.608,301.0,9.843,51.9
2019-02-13_11:00:00,9.213,57.2,10.037,298.1,10.287,49.0
2019-02-13_12:00:00,8.959,55.5,10.231,295.6,10.623,46.2
2019-02-13_13:00:00,7.854,55.1,9.360,292.5,9.703,42.5
2019-02-13_14:00:00,6.928,54.2,8.347,290.9,8.709,40.7
2019-02-13_15:00:00,6.274,47.9,8.160,288.6,8.591,38.4
2019-02-13_16:00:00,6.375,44.2,7.798,285.0,8.286,34.9
2019-02-13_17:00:00,6.352,43.2,7.736,283.4,8.167,32.9
2019-02-13_18:00:00,6.691,50.5,7.910,287.6,8.239,36.9
2019-02-13_19:00:00,6.067,51.1,7.581,289.2,7.994,39.1
2019-02-13_20:00:00,6.727,47.3,8.215,287.4,8.635,37.3
2019-02-13_21:00:00,6.532,47.1,7.876,286.3,8.238,36.0
2019-02-13_22:00:00,6.191,48.7,8.095,286.7,8.472,36.5
2019-02-13_23:00:00,5.926,51.0,7.613,290.2,7.937,40.6
2019-02-14_00:00:00,6.096,55.8,6.789,294.6,6.913,44.9
2019-02-14_01:00:00,6.752,54.5,7.070,295.4,7.242,46.0
2019-02-14_02:00:00,7.020,59.0,7.190,298.5,7.327,49.0
2019-02-14_03:00:00,7.121,60.9,7.671,301.7,7.812,52.1
2019-02-14_04:00:00,7.700,57.5,8.186,298.2,8.423,48.8
2019-02-14_05:00:00,7.861,55.5,8.428,297.0,8.635,47.4
2019-02-14_06:00:00,7.124,62.5,7.243,300.3,7.394,50.4
2019-02-14_07:00:00,6.649,64.3,7.221,300.6,7.423,51.3
2019-02-14_08:00:00,6.210,65.7,6.613,303.8,6.816,54.8
2019-02-14_09:00:00,5.838,61.9,6.502,302.1,6.657,52.8
2019-02-14_10:00:00,6.224,63.5,6.783,303.4,6.990,54.3
2019-02-14_11:00:00,6.864,58.0,7.382,299.4,7.572,49.8
2019-02-14_12:00:00,6.411,54.8,7.327,298.1,7.539,48.4
2019-02-14_13:00:00,6.425,53.0,7.644,291.6,8.000,41.7
2019-02-14_14:00:00,5.735,47.9,7.350,286.3,7.865,36.1
2019-02-14_15:00:00,6.125,48.0,7.321,285.6,7.737,35.3
2019-02-14_16:00:00,5.244,41.8,5.988,279.8,6.330,29.5
2019-02-14_17:00:00,5.681,39.5,6.281,280.5,6.519,29.7
2019-02-14_18:00:00,6.117,45.0,7.018,282.3,7.283,31.3
2019-02-14_19:00:00,5.614,39.8,6.377,280.4,6.686,30.2
2019-02-14_20:00:00,5.797,31.9,5.885,275.8,6.045,26.5
2019-02-14_21:00:00,5.292,29.2,5.136,274.4,5.058,26.4
2019-02-14_22:00:00,4.208,36.3,4.741,279.7,4.970,30.2
2019-02-14_23:00:00,3.571,29.6,4.349,277.6,4.587,28.9
2019-02-15_00:00:00,2.219,30.1,2.440,262.2,2.528,12.6
2019-02-15_01:00:00,1.976,52.8,1.750,295.4,1.711,45.8
2019-02-15_02:00:00,2.362,212.7,1.864,92.7,1.748,205.3
2019-02-15_03:00:00,2.948,213.1,2.530,102.7,2.358,215.6
2019-02-15_04:00:00,3.542,216.1,3.396,98.4,3.290,212.1
2019-02-15_05:00:00,2.500,213.4,2.320,97.9,2.232,209.7
2019-02-15_06:00:00,3.158,212.8,2.708,88.2,2.668,196.8
2019-02-15_07:00:00,3.050,208.6,2.572,87.9,2.578,198.9
2019-02-15_08:00:00,2.302,227.2,2.104,116.4,2.045,226.0
2019-02-15_09:00:00,1.661,222.8,1.885,117.9,1.989,229.0
2019-02-15_10:00:00,0.932,188.4,1.346,86.0,1.461,201.0
2019-02-15_11:00:00,0.530,176.2,0.656,77.0,0.826,198.3
2019-02-15_12:00:00,0.876,38.8,0.838,70.7,1.037,182.5
2019-02-15_13:00:00,2.306,55.5,1.923,322.1,1.749,75.7
2019-02-15_14:00:00,2.822,53.1,3.302,300.3,3.342,51.4
2019-02-15_15:00:00,3.345,54.5,3.538,300.6,3.598,52.3
2019-02-15_16:00:00,4.139,52.0,4.739,294.4,4.828,44.7
2019-02-15_17:00:00,4.849,53.7,5.369,295.8,5.430,45.5
2019-02-15_18:00:00,5.060,55.6,5.115,299.6,5.186,49.2
2019-02-15_19:00:00,5.609,57.0,5.938,298.4,6.038,48.3
2019-02-15_20:00:00,6.734,52.8,7.306,295.1,7.522,45.6
2019-02-15_21:00:00,7.398,54.9,8.063,297.0,8.275,47.4
2019-02-15_22:00:00,8.358,52.9,9.057,295.8,9.250,46.3
2019-02-15_23:00:00,8.698,53.7,9.887,295.7,10.109,46.0
2019-02-16_00:00:00,10.015,53.3,11.374,293.5,11.645,43.7
2019-02-16_01:00:00,10.094,52.3,11.432,294.1,11.703,44.8
2019-02-16_02:00:00,9.851,52.2,11.604,293.4,11.894,43.5
2019-02-16_03:00:00,10.366,54.6,11.728,294.6,11.975,44.8
2019-02-16_04:00:00,9.623,52.6,11.364,292.3,11.671,42.4
2019-02-16_05:00:00,9.603,55.4,10.876,295.2,11.160,45.5
2019-02-16_06:00:00,9.155,57.1,9.872,298.4,10.099,48.8
2019-02-16_07:00:00,9.632,58.3,10.410,299.2,10.620,49.8
2019-02-16_08:00:00,9.654,60.5,10.508,300.9,10.776,51.5
2019-02-16_09:00:00,8.286,62.1,8.825,301.4,9.046,53.0
2019-02-16_10:00:00,9.666,60.0,10.363,300.7,10.527,52.0
2019-02-16_11:00:00,10.059,59.0,11.250,299.7,11.484,50.7
2019-02-16_12:00:00,10.473,60.5,11.809,299.8,12.023,50.3
2019-02-16_13:00:00,10.434,59.1,11.771,297.9,12.043,48.6
2019-02-16_14:00:00,9.573,56.1,11.020,295.9,11.298,46.4
2019-02-16_15:00:00,10.786,57.4,12.421,296.9,12.751,47.5
2019-02-16_16:00:00,11.147,58.5,13.097,297.4,13.466,47.9
2019-02-16_17:00:00,11.076,56.4,13.058,296.9,13.392,47.6
2019-02-16_18:00:00,11.106,52.8,12.891,293.7,13.218,43.8
2019-02-16_19:00:00,10.502,53.5,12.714,292.5,13.253,42.7
2019-02-16_20:00:00,10.320,57.9,11.484,298.3,11.797,48.8
2019-02-16_21:00:00,10.761,54.8,11.972,294.4,12.328,44.7
2019-02-16_22:00:00,11.029,56.5,12.464,296.6,12.743,47.3
2019-02-16_23:00:00,10.481,55.5,12.079,295.8,12.372,46.5
2019-02-17_00:00:00,10.580,54.6,12.051,295.3,12.319,45.8
2019-02-17_01:00:00,10.054,56.0,11.908,295.0,12.264,45.3
2019-02-17_02:00:00,10.490,56.7,11.948,295.8,12.296,46.2
2019-02-17_03:00:00,10.566,54.7,12.387,294.4,12.711,44.5
2019-02-17_04:00:00,10.972,53.7,12.762,292.2,13.154,42.0
2019-02-17_05:00:00,11.364,56.5,12.746,292.8,13.037,42.5
2019-02-17_06:00:00,9.325,52.6,11.010,289.0,11.418,39.2
2019-02-17_07:00:00,8.585,50.8,10.496,288.1,10.948,37.9
2019-02-17_08:00:00,9.308,51.8,11.176,289.3,11.613,39.5
2019-02-17_09:00:00,8.740,52.3,10.591,289.8,10.994,40.1
2019-02-17_10:00:00,8.272,54.0,9.989,292.4,10.339,42.9
2019-02-17_11:00:00,9.687,58.0,10.983,298.0,11.289,48.7
2019-02-17_12:00:00,10.428,56.6,12.149,297.7,12.518,48.2
2019-02-17_13:00:00,10.014,56.0,11.385,296.6,11.663,47.0
2019-02-17_14:00:00,10.071,52.6,12.136,293.0,12.484,43.1
2019-02-17_15:00:00,9.519,53.1,11.641,290.2,12.096,40.3
2019-02-17_16:00:00,8.918,52.0,11.081,289.1,11.531,39.0
2019-02-17_17:00:00,8.597,51.3,10.710,288.0,11.143,38.3
2019-02-17_18:00:00,7.835,49.6,9.774,286.0,10.220,36.3
2019-02-17_19:00:00,7.350,44.3,8.617,282.5,9.093,32.4
2019-02-17_20:00:00,7.781,50.1,9.357,286.2,9.820,36.7
2019-02-17_21:00:00,8.052,47.1,9.685,284.9,10.105,35.5
2019-02-17_22:00:00,7.595,42.9,9.217,281.1,9.582,30.6
2019-02-17_23:00:00,7.637,49.1,9.462,286.0,9.890,36.4
2019-02-18_00:00:00,7.830,51.8,9.695,289.7,10.073,39.9
2019-02-18_01:00:00,7.931,48.1,9.817,286.2,10.230,36.3
2019-02-18_02:00:00,8.774,50.0,10.365,287.5,10.812,38.4
2019-02-18_03:00:00,7.398,46.9,8.428,282.6,8.762,32.5
2019-02-18_04:00:00,8.009,53.3,8.724,288.0,9.023,37.8
2019-02-18_05:00:00,6.924,55.7,7.213,286.3,7.358,35.6
2019-02-18_06:00:00,4.694,45.8,4.904,283.0,5.044,33.0
2019-02-18_07:00:00,5.855,55.1,6.299,290.2,6.448,39.7
2019-02-18_08:00:00,3.987,49.3,4.240,283.3,4.344,33.1
2019-02-18_09:00:00,3.801,51.1,3.915,285.0,4.034,35.0
2019-02-18_10:00:00,2.940,69.1,3.347,308.4,3.431,59.4
2019-02-18_11:00:00,1.503,100.9,1.622,330.5,1.635,77.5
2019-02-18_12:00:00,2.062,82.5,2.243,324.9,2.303,76.8
2019-02-18_13:00:00,3.380,45.8,3.675,280.6,3.681,30.7
2019-02-18_14:00:00,2.458,354.6,3.035,238.6,3.106,349.8
2019-02-18_15:00:00,1.751,264.4,2.049,158.2,2.137,271.3
2019-02-18_16:00:00,1.097,249.2,1.802,132.0,1.931,240.8
2019-02-18_17:00:00,1.056,231.6,1.219,99.8,1.321,209.9
2019-02-18_18:00:00,1.167,285.8,1.580,112.4,1.634,222.0
2019-02-18_19:00:00,1.699,282.8,2.129,177.4,2.186,291.8
2019-02-18_20:00:00,0.608,197.2,0.583,229.6,0.722,336.1
2019-02-18_21:00:00,0.588,82.2,0.884,12.3,1.043,128.3
2019-02-18_22:00:00,0.609,243.6,0.748,63.4,0.671,160.7
2019-02-18_23:00:00,0.588,80.3,0.868,332.5,0.882,96.3
2019-02-19_00:00:00,0.771,117.7,0.801,355.8,0.890,135.5
2019-02-19_01:00:00,0.993,210.7,1.238,156.4,1.352,269.8
2019-02-19_02:00:00,1.664,266.0,2.385,163.7,2.347,274.8
2019-02-19_03:00:00,3.801,285.6,3.932,167.5,3.827,279.2
2019-02-19_04:00:00,3.159,265.2,2.857,159.1,2.842,272.8
2019-02-19_05:00:00,2.461,237.2,2.635,125.1,2.534,238.1
2019-02-19_06:00:00,4.088,271.5,4.137,149.9,4.049,261.0
2019-02-19_07:00:00,4.379,276.3,4.518,154.3,4.425,266.0
2019-02-19_08:00:00,3.336,258.5,3.507,146.6,3.497,258.0
2019-02-19_09:00:00,1.903,257.7,2.741,157.2,2.753,267.2
2019-02-19_10:00:00,1.003,163.2,1.369,65.0,1.340,184.9
2019-02-19_11:00:00,2.560,79.5,3.383,333.4,3.422,86.6
2019-02-19_12:00:00,2.342,77.2,3.886,336.7,4.235,89.4
2019-02-19_13:00:00,3.202,78.8,4.684,330.8,4.944,84.1
2019-02-19_14:00:00,3.578,56.1,5.119,314.4,5.432,68.3
2019-02-19_15:00:00,3.154,33.3,3.662,303.6,3.890,57.3
2019-02-19_16:00:00,4.832,22.7,3.890,284.3,3.811,37.5
2019-02-19_17:00:00,4.958,44.3,5.346,290.3,5.478,41.4
2019-02-19_18:00:00,4.724,44.4,5.644,289.8,5.837,40.7
2019-02-19_19:00:00,6.316,42.5,7.792,286.6,8.227,37.3
2019-02-19_20:00:00,6.586,42.9,8.076,288.0,8.512,38.6
2019-02-19_21:00:00,4.974,41.2,5.781,288.1,6.007,39.2
2019-02-19_22:00:00,4.873,42.3,5.981,288.5,6.254,39.1
2019-02-19_23:00:00,4.762,42.0,5.685,287.0,5.907,37.6
2019-02-20_00:00:00,5.017,43.4,6.187,286.2,6.517,37.2
2019-02-20_01:00:00,4.910,48.6,5.748,289.6,5.961,39.5
2019-02-20_02:00:00,3.477,48.6,3.397,281.2,3.426,32.3
2019-02-20_03:00:00,2.170,90.0,2.286,318.1,2.311,67.0
2019-02-20_04:00:00,2.895,60.7,2.555,294.0,2.528,45.5
2019-02-20_05:00:00,3.615,28.8,3.319,263.7,3.233,17.4
2019-02-20_06:00:00,3.037,53.5,3.080,286.6,3.135,38.1
2019-02-20_07:00:00,2.495,97.5,2.326,330.0,2.273,78.7
2019-02-20_08:00:00,2.201,84.5,2.285,315.1,2.289,62.0
2019-02-20_09:00:00,2.799,90.9,2.862,320.3,2.819,69.5
2019-02-20_10:00:00,2.812,60.8,3.006,292.8,3.134,43.3
2019-02-20_11:00:00,4.267,49.4,4.910,293.1,5.012,43.9
2019-02-20_12:00:00,3.927,68.6,4.253,305.1,4.246,56.1
2019-02-20_13:00:00,5.895,49.5,7.153,289.9,7.405,40.5
2019-02-20_14:00:00,5.934,54.1,6.768,295.7,6.946,46.3
2019-02-20_15:00:00,5.840,52.2,7.072,292.0,7.359,42.8
2019-02-20_16:00:00,7.082,50.7,8.800,291.3,9.158,42.0
2019-02-20_17:00:00,6.805,50.9,8.500,292.2,8.826,43.0
2019-02-20_18:00:00,6.199,49.9,7.747,289.8,8.026,40.4
2019-02-20_19:00:00,7.371,49.1,9.083,290.8,9.444,41.0
2019-02-20_20:00:00,5.795,53.7,6.898,293.5,7.076,44.0
2019-02-20_21:00:00,6.335,53.9,7.427,292.4,7.718,42.4
2019-02-20_22:00:00,6.934,54.9,8.370,292.4,8.658,42.7
2019-02-20_23:00:00,7.610,51.9,9.123,289.2,9.490,39.0
2019-02-21_00:00:00,6.868,50.7,8.897,288.5,9.291,38.7
2019-02-21_01:00:00,7.301,51.2,8.862,289.8,9.230,40.2
2019-02-21_02:00:00,5.607,56.1,6.099,294.1,6.238,44.5
2019-02-21_03:00:00,6.070,54.7,6.943,292.0,7.201,42.4
2019-02-21_04:00:00,5.994,55.5,7.039,290.5,7.303,41.0
2019-02-21_05:00:00,6.466,53.6,7.458,289.9,7.759,40.0
2019-02-21_06:00:00,4.984,54.4,5.517,293.3,5.655,43.3
2019-02-21_07:00:00,7.671,50.4,9.109,289.5,9.507,40.0
2019-02-21_08:00:00,7.710,51.8,9.224,289.8,9.636,40.1
2019-02-21_09:00:00,7.381,52.2,8.924,291.8,9.303,42.0
2019-02-21_10:00:00,7.129,51.4,8.511,294.8,8.688,45.8
2019-02-21_11:00:00,5.595,61.6,6.254,303.4,6.311,54.7
2019-02-21_12:00:00,6.541,58.9,6.994,300.8,7.060,51.7
2019-02-21_13:00:00,7.536,57.6,8.257,299.2,8.419,50.2
2019-02-21_14:00:00,8.634,58.5,9.194,300.5,9.458,51.7
2019-02-21_15:00:00,8.606,55.5,10.053,296.4,10.351,47.3
2019-02-21_16:00:00,8.693,53.8,10.393,290.4,10.725,40.8
2019-02-21_17:00:00,8.435,52.0,10.227,291.1,10.568,41.5
2019-02-21_18:00:00,6.881,47.4,8.208,284.7,8.510,34.7
2019-02-21_19:00:00,5.926,50.5,7.434,286.5,7.867,36.7
2019-02-21_20:00:00,5.394,51.9,6.558,290.9,6.909,41.4
2019-02-21_21:00:00,4.480,48.7,5.225,288.6,5.441,39.7
2019-02-21_22:00:00,5.662,53.9,6.443,292.3,6.699,43.0
2019-02-21_23:00:00,5.160,50.0,6.475,290.6,6.813,40.6
2019-02-22_00:00:00,4.787,50.9,5.779,287.0,6.103,37.3
2019-02-22_01:00:00,3.964,46.3,4.620,281.8,4.852,32.1
2019-02-22_02:00:00,4.347,56.0,4.644,288.3,4.794,38.8
2019-02-22_03:00:00,3.064,101.3,3.093,325.9,3.069,76.1
2019-02-22_04:00:00,3.239,110.9,3.159,336.2,3.088,87.0
2019-02-22_05:00:00,4.113,102.2,4.135,332.8,4.080,83.3
2019-02-22_06:00:00,4.330,93.8,4.597,323.5,4.639,74.5
2019-02-22_07:00:00,5.673,111.1,5.773,339.4,5.763,90.2
2019-02-22_08:00:00,5.252,92.9,5.525,328.1,5.484,80.6
2019-02-22_09:00:00,6.028,88.3,6.858,329.2,6.946,82.0
2019-02-22_10:00:00,7.853,82.0,9.587,325.4,9.745,78.2
2019-02-22_11:00:00,8.110,82.1,9.542,322.0,9.674,74.6
2019-02-22_12:00:00,5.598,75.1,6.828,313.5,7.049,65.4
2019-02-22_13:00:00,6.908,61.2,7.795,302.0,8.025,54.0
2019-02-22_14:00:00,7.385,67.6,8.250,305.7,8.465,56.9
2019-02-22_15:00:00,7.300,63.2,8.415,303.2,8.638,54.3
2019-02-22_16:00:00,7.776,74.6,9.265,310.3,9.480,61.6
2019-02-22_17:00:00,8.091,76.5,9.609,313.3,9.754,64.9
2019-02-22_18:00:00,6.354,75.6,7.604,313.0,7.743,64.6
2019-02-22_19:00:00,6.914,69.9,7.929,307.2,8.200,58.8
2019-02-22_20:00:00,7.889,73.8,9.328,310.3,9.475,61.4
2019-02-22_21:00:00,8.550,75.8,9.797,311.9,9.918,63.2
2019-02-22_22:00:00,8.426,74.8,9.577,311.6,9.716,63.3
2019-02-22_23:00:00,8.568,76.7,9.559,313.3,9.686,64.5
2019-02-23_00:00:00,7.441,64.7,8.102,304.1,8.285,55.7
2019-02-23_01:00:00,8.116,67.5,9.114,305.1,9.359,56.4
2019-02-23_02:00:00,8.596,64.6,9.546,303.6,9.728,55.2
2019-02-23_03:00:00,8.764,65.3,9.369,302.7,9.569,53.9
2019-02-23_04:00:00,8.361,70.8,8.958,307.8,9.169,59.6
2019-02-23_05:00:00,8.634,69.0,9.642,307.3,9.845,58.8
2019-02-23_06:00:00,9.073,71.5,10.293,308.3,10.481,59.7
2019-02-23_07:00:00,9.548,67.3,10.637,304.2,10.864,55.0
2019-02-23_08:00:00,9.335,62.5,10.404,300.4,10.641,51.3
2019-02-23_09:00:00,8.937,63.3,9.943,302.5,10.119,54.1
2019-02-23_10:00:00,8.982,60.0,9.974,300.3,10.080,51.3
2019-02-23_11:00:00,9.081,57.0,10.328,298.0,10.560,49.3
2019-02-23_12:00:00,9.095,56.5,10.433,298.3,10.667,49.2
2019-02-23_13:00:00,9.926,54.2,11.456,297.0,11.706,47.8
2019-02-23_14:00:00,10.973,54.2,13.010,294.8,13.362,45.2
2019-02-23_15:00:00,9.324,52.2,10.992,287.8,11.435,37.3
2019-02-23_16:00:00,8.820,47.0,10.813,283.8,11.220,32.9
2019-02-23_17:00:00,8.522,50.1,10.813,287.9,11.310,38.0
