Date/Time,V10,D10,V70,D70,V80,D80
2019-01-04_13:00:00,0.968,80.7,1.811,357.3,2.090,105.0
2019-01-04_14:00:00,0.907,66.5,1.390,347.5,1.431,101.3
2019-01-04_15:00:00,1.748,59.7,2.208,323.7,2.280,78.0
2019-01-04_16:00:00,1.643,73.8,2.368,331.4,2.489,87.2
2019-01-04_17:00:00,2.143,67.5,2.827,325.1,3.033,78.7
2019-01-04_18:00:00,1.586,51.1,2.197,309.2,2.335,60.4
2019-01-04_19:00:00,1.398,61.5,2.087,288.2,2.241,37.8
2019-01-04_20:00:00,0.908,46.9,1.243,315.2,1.277,74.8
2019-01-04_21:00:00,1.553,39.3,1.515,280.5,1.529,29.1
2019-01-04_22:00:00,1.814,45.6,1.788,315.0,1.766,67.9
2019-01-04_23:00:00,1.987,54.6,2.237,318.1,2.295,69.8
2019-01-05_00:00:00,2.750,41.1,3.368,286.6,3.461,38.3
2019-01-05_01:00:00,2.890,57.4,3.067,302.8,3.138,53.0
2019-01-05_02:00:00,2.460,49.1,2.515,290.3,2.530,38.8
2019-01-05_03:00:00,3.694,53.9,3.743,290.6,3.853,41.9
2019-01-05_04:00:00,4.405,51.8,4.617,291.1,4.682,41.1
2019-01-05_05:00:00,5.470,53.5,6.010,293.3,6.156,43.0
2019-01-05_06:00:00,6.307,53.7,7.253,294.9,7.368,45.5
2019-01-05_07:00:00,6.016,53.0,6.699,292.7,6.884,43.5
2019-01-05_08:00:00,6.618,51.9,7.869,293.0,8.098,43.4
2019-01-05_09:00:00,6.832,52.4,8.204,292.8,8.375,43.3
2019-01-05_10:00:00,7.567,53.7,8.674,293.1,8.967,43.7
2019-01-05_11:00:00,6.852,54.1,7.879,295.8,8.082,46.2
2019-01-05_12:00:00,6.429,53.9,7.483,295.5,7.671,46.3
2019-01-05_13:00:00,6.962,54.9,8.059,295.1,8.277,45.3
2019-01-05_14:00:00,7.286,51.8,9.078,293.1,9.327,43.7
2019-01-05_15:00:00,6.996,52.4,8.323,289.6,8.719,38.9
2019-01-05_16:00:00,6.276,49.8,7.849,291.4,8.142,41.6
2019-01-05_17:00:00,4.455,68.4,4.956,311.3,5.061,62.1
