,spd70,end_var
2019-02-01 06:00:00,8.27,1.58
2019-02-01 12:00:00,10.77,2.20
2019-02-01 18:00:00,8.32,2.86
2019-02-02 00:00:00,7.67,4.28
2019-02-02 06:00:00,1.50,5.32
2019-02-02 12:00:00,1.78,6.34
2019-02-02 18:00:00,4.02,0.92
2019-02-03 00:00:00,1.83,8.49
2019-02-03 06:00:00,2.28,9.51
2019-02-03 12:00:00,2.15,5.05
2019-02-03 18:00:00,3.98,5.28
2019-02-04 00:00:00,10.23,2.78
2019-02-04 06:00:00,11.40,1.97
2019-02-04 12:00:00,9.74,3.59
2019-02-04 18:00:00,7.23,2.13
2019-02-05 00:00:00,5.29,1.96
2019-02-05 06:00:00,1.53,3.61
2019-02-05 12:00:00,3.30,2.96
2019-02-05 18:00:00,1.95,2.71
2019-02-06 00:00:00,1.04,4.95
2019-02-06 06:00:00,2.05,8.28
2019-02-06 12:00:00,1.98,2.99
2019-02-06 18:00:00,1.75,0.81
2019-02-07 00:00:00,3.32,5.52
2019-02-07 06:00:00,5.25,4.53
2019-02-07 12:00:00,8.89,6.14
2019-02-07 18:00:00,8.89,8.62
2019-02-08 00:00:00,10.71,8.59
2019-02-08 06:00:00,12.66,8.13
2019-02-08 12:00:00,10.96,7.41
2019-02-08 18:00:00,6.34,5.88
2019-02-09 00:00:00,6.28,4.85
2019-02-09 06:00:00,10.30,6.85
2019-02-09 12:00:00,12.29,5.69
2019-02-09 18:00:00,12.78,5.20
2019-02-10 00:00:00,12.49,4.82
2019-02-10 06:00:00,8.32,6.00
2019-02-10 12:00:00,8.72,2.52
2019-02-10 18:00:00,8.96,1.03
2019-02-11 00:00:00,8.09,1.01
2019-02-11 06:00:00,9.63,2.03
2019-02-11 12:00:00,10.40,2.39
2019-02-11 18:00:00,9.41,3.82
2019-02-12 00:00:00,8.35,4.10
2019-02-12 06:00:00,5.51,1.86
2019-02-12 12:00:00,3.02,0.54
2019-02-12 18:00:00,3.85,3.49
2019-02-13 00:00:00,5.96,4.82
2019-02-13 06:00:00,7.63,6.55
2019-02-13 12:00:00,10.23,6.44
2019-02-13 18:00:00,7.91,7.33
2019-02-14 00:00:00,6.79,6.37
2019-02-14 06:00:00,7.24,7.28
2019-02-14 12:00:00,7.33,6.45
2019-02-14 18:00:00,7.02,3.56
2019-02-15 00:00:00,2.44,2.95
2019-02-15 06:00:00,2.71,1.26
2019-02-15 12:00:00,0.84,3.43
2019-02-15 18:00:00,5.12,2.93
2019-02-16 00:00:00,11.37,3.60
2019-02-16 06:00:00,9.87,3.99
2019-02-16 12:00:00,11.81,3.66
2019-02-16 18:00:00,12.89,3.64
2019-02-17 00:00:00,12.05,3.25
2019-02-17 06:00:00,11.01,3.49
2019-02-17 12:00:00,12.15,5.55
2019-02-17 18:00:00,9.77,5.07
