,spd70,end_var
2019-02-01 06:00:00,8.27,2.49
2019-02-01 12:00:00,10.77,2.00
2019-02-01 18:00:00,8.32,2.13
2019-02-02 00:00:00,7.67,4.04
2019-02-02 06:00:00,1.50,4.45
2019-02-02 12:00:00,1.78,3.35
2019-02-02 18:00:00,4.02,5.31
2019-02-03 00:00:00,1.83,3.22
2019-02-03 06:00:00,2.28,9.49
2019-02-03 12:00:00,2.15,6.92
2019-02-03 18:00:00,3.98,4.64
2019-02-04 00:00:00,10.23,3.74
2019-02-04 06:00:00,11.40,2.47
2019-02-04 12:00:00,9.74,2.03
2019-02-04 18:00:00,7.23,1.64
2019-02-05 00:00:00,5.29,1.57
2019-02-05 06:00:00,1.53,4.70
2019-02-05 12:00:00,3.30,3.42
2019-02-05 18:00:00,1.95,2.72
2019-02-06 00:00:00,1.04,3.74
2019-02-06 06:00:00,2.05,9.31
2019-02-06 12:00:00,1.98,3.98
2019-02-06 18:00:00,1.75,5.32
2019-02-07 00:00:00,3.32,5.57
2019-02-07 06:00:00,5.25,5.48
2019-02-07 12:00:00,8.89,6.80
2019-02-07 18:00:00,8.89,8.10
2019-02-08 00:00:00,10.71,9.02
2019-02-08 06:00:00,12.66,9.15
2019-02-08 12:00:00,10.96,7.87
2019-02-08 18:00:00,6.34,7.94
2019-02-09 00:00:00,6.28,6.99
2019-02-09 06:00:00,10.30,6.87
2019-02-09 12:00:00,12.29,5.60
2019-02-09 18:00:00,12.78,4.17
2019-02-10 00:00:00,12.49,2.13
2019-02-10 06:00:00,8.32,2.74
2019-02-10 12:00:00,8.72,1.68
2019-02-10 18:00:00,8.96,1.83
2019-02-11 00:00:00,8.09,2.29
2019-02-11 06:00:00,9.63,1.70
2019-02-11 12:00:00,10.40,0.64
2019-02-11 18:00:00,9.41,2.17
2019-02-12 00:00:00,8.35,4.13
2019-02-12 06:00:00,5.51,6.10
2019-02-12 12:00:00,3.02,5.82
2019-02-12 18:00:00,3.85,5.09
2019-02-13 00:00:00,5.96,4.49
2019-02-13 06:00:00,7.63,5.00
2019-02-13 12:00:00,10.23,4.07
2019-02-13 18:00:00,7.91,3.68
2019-02-14 00:00:00,6.79,4.10
2019-02-14 06:00:00,7.24,4.20
2019-02-14 12:00:00,7.33,4.59
2019-02-14 18:00:00,7.02,4.66
2019-02-15 00:00:00,2.44,4.61
2019-02-15 06:00:00,2.71,3.93
2019-02-15 12:00:00,0.84,3.22
2019-02-15 18:00:00,5.12,4.70
2019-02-16 00:00:00,11.37,5.32
2019-02-16 06:00:00,9.87,3.31
2019-02-16 12:00:00,11.81,5.32
2019-02-16 18:00:00,12.89,7.88
2019-02-17 00:00:00,12.05,9.69
2019-02-17 06:00:00,11.01,9.91
2019-02-17 12:00:00,12.15,7.88
2019-02-17 18:00:00,9.77,7.46
2019-02-18 00:00:00,9.70,6.37
2019-02-18 06:00:00,4.90,5.57
2019-02-18 12:00:00,2.24,3.09
2019-02-18 18:00:00,1.58,1.68
2019-02-19 00:00:00,0.80,1.97
2019-02-19 06:00:00,4.14,2.65
2019-02-19 12:00:00,3.89,2.24
2019-02-19 18:00:00,5.64,3.71
2019-02-20 00:00:00,6.19,4.66
2019-02-20 06:00:00,3.08,6.25
2019-02-20 12:00:00,4.25,6.12
2019-02-20 18:00:00,7.75,5.32
2019-02-21 00:00:00,8.90,4.74
2019-02-21 06:00:00,5.52,5.45
2019-02-21 12:00:00,6.99,4.11
2019-02-21 18:00:00,8.21,4.09
2019-02-22 00:00:00,5.78,4.23
2019-02-22 06:00:00,4.60,1.86
2019-02-22 12:00:00,6.83,0.89
2019-02-22 18:00:00,7.60,1.64
2019-02-23 00:00:00,8.10,2.18
2019-02-23 06:00:00,10.29,0.65
2019-02-23 12:00:00,10.43,4.64
2019-02-23 18:00:00,11.65,4.68
2019-02-24 00:00:00,10.80,4.75
2019-02-24 06:00:00,8.42,4.86
2019-02-24 12:00:00,10.01,2.50
2019-02-24 18:00:00,8.52,2.53
2019-02-25 00:00:00,7.12,3.54
2019-02-25 06:00:00,7.59,2.77
2019-02-25 12:00:00,8.24,5.94
2019-02-25 18:00:00,9.63,4.99
2019-02-26 00:00:00,8.05,1.85
2019-02-26 06:00:00,7.58,0.19
2019-02-26 12:00:00,6.62,2.63
2019-02-26 18:00:00,4.22,1.22
2019-02-27 00:00:00,2.87,0.93
2019-02-27 06:00:00,2.20,1.67
2019-02-27 12:00:00,1.41,2.34
2019-02-27 18:00:00,6.16,2.95
2019-02-28 00:00:00,7.29,2.13
2019-02-28 06:00:00,5.95,1.56
2019-02-28 12:00:00,7.08,1.81
2019-02-28 18:00:00,9.06,3.78
2019-03-01 00:00:00,7.84,0.14
2019-03-01 06:00:00,5.97,2.24
2019-03-01 12:00:00,8.04,1.89
2019-03-01 18:00:00,7.11,2.47
2019-03-02 00:00:00,4.41,2.71
2019-03-02 06:00:00,1.98,7.41
2019-03-02 12:00:00,1.04,7.10
2019-03-02 18:00:00,1.43,5.53
2019-03-03 00:00:00,3.24,5.52
2019-03-03 06:00:00,4.32,5.12
2019-03-03 12:00:00,1.93,2.43
2019-03-03 18:00:00,5.43,2.10
2019-03-04 00:00:00,6.08,2.60
2019-03-04 06:00:00,6.18,5.91
2019-03-04 12:00:00,8.66,7.62
2019-03-04 18:00:00,8.64,7.09
2019-03-05 00:00:00,10.24,7.73
2019-03-05 06:00:00,11.37,8.62
2019-03-05 12:00:00,2.51,4.92
2019-03-05 18:00:00,2.22,4.07
2019-03-06 00:00:00,3.04,4.06
2019-03-06 06:00:00,2.14,2.71
2019-03-06 12:00:00,8.51,1.25
2019-03-06 18:00:00,11.23,1.52
2019-03-07 00:00:00,8.90,3.42
2019-03-07 06:00:00,11.06,1.95
2019-03-07 12:00:00,10.66,2.42
2019-03-07 18:00:00,12.28,3.14
2019-03-08 00:00:00,12.79,4.64
2019-03-08 06:00:00,10.10,9.77
2019-03-08 12:00:00,10.78,7.81
2019-03-08 18:00:00,9.55,5.57
2019-03-09 00:00:00,9.28,3.11
2019-03-09 06:00:00,5.35,2.78
2019-03-09 12:00:00,2.59,1.64
2019-03-09 18:00:00,4.23,1.04
2019-03-10 00:00:00,3.12,1.60
2019-03-10 06:00:00,2.21,1.07
2019-03-10 12:00:00,3.79,1.81
2019-03-10 18:00:00,5.79,2.14
2019-03-11 00:00:00,6.15,3.67
2019-03-11 06:00:00,3.64,6.80
2019-03-11 12:00:00,3.82,5.41
2019-03-11 18:00:00,5.67,3.86
2019-03-12 00:00:00,5.35,4.13
2019-03-12 06:00:00,4.39,3.38
2019-03-12 12:00:00,3.45,1.86
2019-03-12 18:00:00,6.51,1.83
2019-03-13 00:00:00,7.88,0.95
2019-03-13 06:00:00,10.46,4.36
2019-03-13 12:00:00,11.47,4.45
2019-03-13 18:00:00,9.06,2.84
2019-03-14 00:00:00,4.54,2.50
2019-03-14 06:00:00,6.67,2.93
2019-03-14 12:00:00,10.14,2.47
2019-03-14 18:00:00,8.54,2.64
2019-03-15 00:00:00,6.78,2.18
2019-03-15 06:00:00,8.80,3.38
2019-03-15 12:00:00,5.29,3.75
2019-03-15 18:00:00,8.90,3.61
2019-03-16 00:00:00,10.42,4.34
2019-03-16 06:00:00,11.43,2.74
2019-03-16 12:00:00,9.68,2.42
2019-03-16 18:00:00,6.75,2.60
2019-03-17 00:00:00,6.69,0.68
2019-03-17 06:00:00,5.92,2.85
2019-03-17 12:00:00,8.30,2.08
2019-03-17 18:00:00,7.32,1.60
2019-03-18 00:00:00,2.46,1.99
2019-03-18 06:00:00,2.61,2.65
2019-03-18 12:00:00,0.45,2.31
2019-03-18 18:00:00,1.81,1.00
2019-03-19 00:00:00,4.31,1.47
2019-03-19 06:00:00,5.26,3.50
2019-03-19 12:00:00,5.84,0.65
2019-03-19 18:00:00,6.03,1.68
2019-03-20 00:00:00,2.09,2.29
2019-03-20 06:00:00,4.18,4.04
2019-03-20 12:00:00,7.58,3.04
2019-03-20 18:00:00,8.49,2.31
2019-03-21 00:00:00,7.97,1.79
2019-03-21 06:00:00,6.77,5.91
2019-03-21 12:00:00,4.54,3.70
2019-03-21 18:00:00,11.12,9.86
2019-03-22 00:00:00,10.70,8.17
2019-03-22 06:00:00,12.56,6.69
2019-03-22 12:00:00,11.33,3.67
2019-03-22 18:00:00,12.09,4.20
2019-03-23 00:00:00,11.33,3.22
2019-03-23 06:00:00,11.87,5.39
2019-03-23 12:00:00,13.61,4.07
2019-03-23 18:00:00,11.36,2.86
2019-03-24 00:00:00,11.49,1.78
2019-03-24 06:00:00,10.22,2.75
2019-03-24 12:00:00,9.53,2.92
2019-03-24 18:00:00,7.37,2.65
2019-03-25 00:00:00,5.31,3.64
2019-03-25 06:00:00,1.49,4.10
2019-03-25 12:00:00,3.78,3.17
2019-03-25 18:00:00,8.68,2.60
2019-03-26 00:00:00,7.43,3.02
2019-03-26 06:00:00,6.87,4.06
2019-03-26 12:00:00,5.65,2.84
2019-03-26 18:00:00,7.48,2.27
2019-03-27 00:00:00,1.07,3.17
2019-03-27 06:00:00,3.88,4.13
2019-03-27 12:00:00,6.30,2.82
2019-03-27 18:00:00,6.33,2.25
2019-03-28 00:00:00,6.89,2.64
2019-03-28 06:00:00,8.06,4.80
2019-03-28 12:00:00,9.56,3.28
2019-03-28 18:00:00,3.62,4.18
2019-03-29 00:00:00,6.54,4.89
2019-03-29 06:00:00,4.23,5.34
2019-03-29 12:00:00,7.10,5.37
2019-03-29 18:00:00,6.40,5.27
2019-03-30 00:00:00,3.95,6.62
2019-03-30 06:00:00,3.66,13.22
2019-03-30 12:00:00,6.49,4.80
2019-03-30 18:00:00,10.49,5.18
2019-03-31 00:00:00,13.23,5.49
2019-03-31 06:00:00,13.11,8.24
2019-03-31 12:00:00,12.81,7.41
2019-03-31 18:00:00,11.12,6.10
2019-04-01 00:00:00,11.52,7.17
2019-04-01 06:00:00,11.20,11.73
