,spd70,end_var
2019-02-01 06:00:00,8.27,0.47
2019-02-01 12:00:00,10.77,2.18
2019-02-01 18:00:00,8.32,2.95
2019-02-02 00:00:00,7.67,4.63
2019-02-02 06:00:00,1.50,10.59
2019-02-02 12:00:00,1.78,6.10
2019-02-02 18:00:00,4.02,5.84
2019-02-03 00:00:00,1.83,5.98
2019-02-03 06:00:00,2.28,7.95
2019-02-03 12:00:00,2.15,5.74
2019-02-03 18:00:00,3.98,5.45
2019-02-04 00:00:00,10.23,4.96
2019-02-04 06:00:00,11.40,5.66
2019-02-04 12:00:00,9.74,3.86
2019-02-04 18:00:00,7.23,3.10
2019-02-05 00:00:00,5.29,1.99
2019-02-05 06:00:00,1.53,4.36
2019-02-05 12:00:00,3.30,3.91
2019-02-05 18:00:00,1.95,2.77
2019-02-06 00:00:00,1.04,1.29
2019-02-06 06:00:00,2.05,2.70
2019-02-06 12:00:00,1.98,2.42
2019-02-06 18:00:00,1.75,2.21
2019-02-07 00:00:00,3.32,4.23
2019-02-07 06:00:00,5.25,3.85
2019-02-07 12:00:00,8.89,5.41
2019-02-07 18:00:00,8.89,5.42
2019-02-08 00:00:00,10.71,6.53
2019-02-08 06:00:00,12.66,8.16
2019-02-08 12:00:00,10.96,6.87
2019-02-08 18:00:00,6.34,4.99
2019-02-09 00:00:00,6.28,3.36
2019-02-09 06:00:00,10.30,4.21
2019-02-09 12:00:00,12.29,4.03
2019-02-09 18:00:00,12.78,2.32
2019-02-10 00:00:00,12.49,2.77
2019-02-10 06:00:00,8.32,3.34
2019-02-10 12:00:00,8.72,2.32
2019-02-10 18:00:00,8.96,0.76
2019-02-11 00:00:00,8.09,1.40
2019-02-11 06:00:00,9.63,4.09
2019-02-11 12:00:00,10.40,3.70
2019-02-11 18:00:00,9.41,1.93
2019-02-12 00:00:00,8.35,2.89
2019-02-12 06:00:00,5.51,2.61
2019-02-12 12:00:00,3.02,2.08
2019-02-12 18:00:00,3.85,1.29
2019-02-13 00:00:00,5.96,3.36
2019-02-13 06:00:00,7.63,4.36
2019-02-13 12:00:00,10.23,0.97
2019-02-13 18:00:00,7.91,2.97
2019-02-14 00:00:00,6.79,3.74
2019-02-14 06:00:00,7.24,7.58
2019-02-14 12:00:00,7.33,6.60
2019-02-14 18:00:00,7.02,5.56
2019-02-15 00:00:00,2.44,7.06
2019-02-15 06:00:00,2.71,12.20
2019-02-15 12:00:00,0.84,4.95
2019-02-15 18:00:00,5.12,10.19
2019-02-16 00:00:00,11.37,10.74
2019-02-16 06:00:00,9.87,9.40
2019-02-16 12:00:00,11.81,8.66
2019-02-16 18:00:00,12.89,8.31
2019-02-17 00:00:00,12.05,6.94
2019-02-17 06:00:00,11.01,6.35
2019-02-17 12:00:00,12.15,5.94
2019-02-17 18:00:00,9.77,6.91
2019-02-18 00:00:00,9.70,5.74
2019-02-18 06:00:00,4.90,5.39
2019-02-18 12:00:00,2.24,3.18
2019-02-18 18:00:00,1.58,2.63
2019-02-19 00:00:00,0.80,2.10
2019-02-19 06:00:00,4.14,2.15
2019-02-19 12:00:00,3.89,3.06
2019-02-19 18:00:00,5.64,3.60
2019-02-20 00:00:00,6.19,3.17
2019-02-20 06:00:00,3.08,3.45
2019-02-20 12:00:00,4.25,4.04
2019-02-20 18:00:00,7.75,6.80
2019-02-21 00:00:00,8.90,3.20
2019-02-21 06:00:00,5.52,0.90
2019-02-21 12:00:00,6.99,3.45
2019-02-21 18:00:00,8.21,5.24
2019-02-22 00:00:00,5.78,4.42
2019-02-22 06:00:00,4.60,7.08
2019-02-22 12:00:00,6.83,7.98
2019-02-22 18:00:00,7.60,6.56
2019-02-23 00:00:00,8.10,6.48
2019-02-23 06:00:00,10.29,6.56
2019-02-23 12:00:00,10.43,5.32
2019-02-23 18:00:00,11.65,5.85
2019-02-24 00:00:00,10.80,5.41
2019-02-24 06:00:00,8.42,6.34
2019-02-24 12:00:00,10.01,5.62
2019-02-24 18:00:00,8.52,4.74
2019-02-25 00:00:00,7.12,4.24
2019-02-25 06:00:00,7.59,4.55
2019-02-25 12:00:00,8.24,4.91
2019-02-25 18:00:00,9.63,4.35
2019-02-26 00:00:00,8.05,4.41
2019-02-26 06:00:00,7.58,4.74
2019-02-26 12:00:00,6.62,2.89
2019-02-26 18:00:00,4.22,2.68
2019-02-27 00:00:00,2.87,2.85
2019-02-27 06:00:00,2.20,2.82
2019-02-27 12:00:00,1.41,2.57
2019-02-27 18:00:00,6.16,2.35
2019-02-28 00:00:00,7.29,2.60
2019-02-28 06:00:00,5.95,2.71
2019-02-28 12:00:00,7.08,3.41
2019-02-28 18:00:00,9.06,2.63
