,spd70,end_var
2019-02-01 06:00:00,8.27,1.24
2019-02-01 12:00:00,10.77,1.90
2019-02-01 18:00:00,8.32,2.50
2019-02-02 00:00:00,7.67,4.66
2019-02-02 06:00:00,1.50,5.35
2019-02-02 12:00:00,1.78,5.91
2019-02-02 18:00:00,4.02,3.52
2019-02-03 00:00:00,1.83,7.02
2019-02-03 06:00:00,2.28,9.02
2019-02-03 12:00:00,2.15,6.34
2019-02-03 18:00:00,3.98,4.99
2019-02-04 00:00:00,10.23,3.73
2019-02-04 06:00:00,11.40,4.32
2019-02-04 12:00:00,9.74,3.50
2019-02-04 18:00:00,7.23,1.89
2019-02-05 00:00:00,5.29,0.60
2019-02-05 06:00:00,1.53,2.40
2019-02-05 12:00:00,3.30,4.00
2019-02-05 18:00:00,1.95,2.70
2019-02-06 00:00:00,1.04,4.42
2019-02-06 06:00:00,2.05,4.98
2019-02-06 12:00:00,1.98,1.99
2019-02-06 18:00:00,1.75,7.33
2019-02-07 00:00:00,3.32,9.65
2019-02-07 06:00:00,5.25,8.47
2019-02-07 12:00:00,8.89,6.62
2019-02-07 18:00:00,8.89,5.45
2019-02-08 00:00:00,10.71,3.07
2019-02-08 06:00:00,12.66,2.85
2019-02-08 12:00:00,10.96,2.64
2019-02-08 18:00:00,6.34,3.82
2019-02-09 00:00:00,6.28,4.39
2019-02-09 06:00:00,10.30,7.71
2019-02-09 12:00:00,12.29,10.20
2019-02-09 18:00:00,12.78,9.12
2019-02-10 00:00:00,12.49,9.12
2019-02-10 06:00:00,8.32,6.20
2019-02-10 12:00:00,8.72,3.16
2019-02-10 18:00:00,8.96,2.57
2019-02-11 00:00:00,8.09,2.75
2019-02-11 06:00:00,9.63,1.65
2019-02-11 12:00:00,10.40,1.45
2019-02-11 18:00:00,9.41,1.04
2019-02-12 00:00:00,8.35,2.49
2019-02-12 06:00:00,5.51,3.64
2019-02-12 12:00:00,3.02,3.29
2019-02-12 18:00:00,3.85,2.59
2019-02-13 00:00:00,5.96,3.16
2019-02-13 06:00:00,7.63,4.66
2019-02-13 12:00:00,10.23,2.72
2019-02-13 18:00:00,7.91,1.97
2019-02-14 00:00:00,6.79,4.61
2019-02-14 06:00:00,7.24,5.55
2019-02-14 12:00:00,7.33,5.94
2019-02-14 18:00:00,7.02,6.45
2019-02-15 00:00:00,2.44,7.78
2019-02-15 06:00:00,2.71,10.52
2019-02-15 12:00:00,0.84,9.06
2019-02-15 18:00:00,5.12,9.13
2019-02-16 00:00:00,11.37,5.63
2019-02-16 06:00:00,9.87,5.24
2019-02-16 12:00:00,11.81,3.68
2019-02-16 18:00:00,12.89,3.59
2019-02-17 00:00:00,12.05,2.28
2019-02-17 06:00:00,11.01,1.39
2019-02-17 12:00:00,12.15,3.24
2019-02-17 18:00:00,9.77,4.11
2019-02-18 00:00:00,9.70,7.08
2019-02-18 06:00:00,4.90,7.34
2019-02-18 12:00:00,2.24,5.77
2019-02-18 18:00:00,1.58,5.45
2019-02-19 00:00:00,0.80,4.92
2019-02-19 06:00:00,4.14,5.12
2019-02-19 12:00:00,3.89,5.60
2019-02-19 18:00:00,5.64,2.97
2019-02-20 00:00:00,6.19,1.35
2019-02-20 06:00:00,3.08,2.68
2019-02-20 12:00:00,4.25,5.03
2019-02-20 18:00:00,7.75,4.17
2019-02-21 00:00:00,8.90,5.63
2019-02-21 06:00:00,5.52,7.41
2019-02-21 12:00:00,6.99,6.52
2019-02-21 18:00:00,8.21,4.42
2019-02-22 00:00:00,5.78,4.07
2019-02-22 06:00:00,4.60,5.06
2019-02-22 12:00:00,6.83,4.41
2019-02-22 18:00:00,7.60,3.36
2019-02-23 00:00:00,8.10,4.74
2019-02-23 06:00:00,10.29,5.31
2019-02-23 12:00:00,10.43,2.65
2019-02-23 18:00:00,11.65,2.93
2019-02-24 00:00:00,10.80,1.78
2019-02-24 06:00:00,8.42,3.92
2019-02-24 12:00:00,10.01,4.20
2019-02-24 18:00:00,8.52,2.53
2019-02-25 00:00:00,7.12,3.63
2019-02-25 06:00:00,7.59,4.63
2019-02-25 12:00:00,8.24,3.91
2019-02-25 18:00:00,9.63,2.34
2019-02-26 00:00:00,8.05,3.02
2019-02-26 06:00:00,7.58,3.84
2019-02-26 12:00:00,6.62,2.77
2019-02-26 18:00:00,4.22,3.86
2019-02-27 00:00:00,2.87,5.84
2019-02-27 06:00:00,2.20,3.93
2019-02-27 12:00:00,1.41,2.64
