,spd70,end_var
2019-01-20 18:00:00,12.80,3.86
2019-02-27 18:00:00,6.16,2.45
2019-01-21 12:00:00,8.10,3.31
2019-03-03 06:00:00,4.32,4.84
2019-01-24 06:00:00,6.85,0.47
2019-01-06 12:00:00,11.16,3.60
2019-02-28 12:00:00,7.08,1.60
2019-01-01 12:00:00,12.36,3.53
2019-02-20 00:00:00,6.19,3.78
2019-03-19 00:00:00,4.31,3.49
2019-02-16 18:00:00,12.89,3.47
2019-03-07 12:00:00,10.66,8.67
2019-02-04 12:00:00,9.74,2.82
2019-03-16 18:00:00,6.75,3.52
2019-03-26 00:00:00,7.43,3.10
2019-02-05 00:00:00,5.29,3.47
2019-03-29 18:00:00,6.40,2.74
2019-03-23 18:00:00,11.36,2.64
2019-03-14 06:00:00,6.67,10.20
2019-03-12 12:00:00,3.45,2.43
2019-03-29 00:00:00,6.54,5.02
2019-03-18 00:00:00,2.46,3.43
2019-03-21 00:00:00,7.97,7.67
2019-03-24 12:00:00,9.53,1.68
2019-01-23 18:00:00,7.02,3.27
2019-03-15 18:00:00,8.90,1.90
2019-02-07 12:00:00,8.89,5.74
2019-03-03 00:00:00,3.24,3.03
2019-03-06 12:00:00,8.51,4.52
2019-02-17 06:00:00,11.01,6.02
2019-03-26 06:00:00,6.87,3.18
2019-03-31 06:00:00,13.11,1.82
2019-03-30 00:00:00,3.95,3.20
2019-02-14 06:00:00,7.24,1.21
2019-03-12 18:00:00,6.51,1.72
2019-03-19 18:00:00,6.03,4.86
2019-02-21 12:00:00,6.99,4.91
2019-03-07 18:00:00,12.28,8.05
2019-03-14 00:00:00,4.54,4.57
2019-01-18 12:00:00,8.77,8.06
2019-02-10 12:00:00,8.72,6.55
2019-01-14 06:00:00,8.15,6.39
2019-01-22 18:00:00,6.61,3.20
2019-02-15 06:00:00,2.71,5.18
2019-03-01 18:00:00,7.11,5.03
2019-02-01 12:00:00,10.77,3.17
2019-01-23 00:00:00,7.04,0.39
2019-03-11 12:00:00,3.82,2.32
2019-02-22 00:00:00,5.78,4.48
2019-01-13 18:00:00,10.38,3.27
2019-03-17 00:00:00,6.69,3.66
2019-01-04 06:00:00,5.71,2.89
2019-01-31 18:00:00,10.73,1.50
2019-03-10 06:00:00,2.21,4.77
2019-03-31 12:00:00,12.81,3.04
2019-03-06 00:00:00,3.04,2.77
2019-02-21 18:00:00,8.21,3.93
2019-02-01 06:00:00,8.27,4.41
2019-03-21 12:00:00,4.54,6.76
2019-02-18 12:00:00,2.24,1.49
2019-01-29 00:00:00,8.28,1.86
2019-01-11 18:00:00,0.71,0.71
2019-01-01 06:00:00,15.56,4.10
2019-02-12 00:00:00,8.35,2.08
2019-01-26 12:00:00,11.51,4.49
2019-03-05 18:00:00,2.22,2.65
2019-03-30 12:00:00,6.49,2.88
2019-03-10 12:00:00,3.79,4.70
2019-03-25 12:00:00,3.78,3.13
2019-02-06 06:00:00,2.05,1.96
2019-02-07 18:00:00,8.89,8.08
2019-03-30 18:00:00,10.49,2.04
2019-03-14 12:00:00,10.14,6.85
