,spd70,end_var
2019-01-20 18:00:00,12.80,0.81
2019-02-27 18:00:00,6.16,3.04
2019-01-21 12:00:00,8.10,2.39
2019-03-03 06:00:00,4.32,3.00
2019-01-24 06:00:00,6.85,12.26
2019-01-06 12:00:00,11.16,4.48
2019-02-28 12:00:00,7.08,2.20
2019-01-01 12:00:00,12.36,3.74
2019-02-20 00:00:00,6.19,3.36
2019-03-19 00:00:00,4.31,1.65
2019-02-16 18:00:00,12.89,2.64
2019-03-07 12:00:00,10.66,4.78
2019-02-04 12:00:00,9.74,3.82
2019-03-16 18:00:00,6.75,6.27
2019-03-26 00:00:00,7.43,3.66
2019-02-05 00:00:00,5.29,3.06
2019-03-29 18:00:00,6.40,6.52
2019-03-23 18:00:00,11.36,6.92
2019-03-14 06:00:00,6.67,6.34
2019-03-12 12:00:00,3.45,1.43
2019-03-29 00:00:00,6.54,6.37
2019-03-18 00:00:00,2.46,4.98
2019-03-21 00:00:00,7.97,2.74
2019-03-24 12:00:00,9.53,7.33
2019-01-23 18:00:00,7.02,2.91
2019-03-15 18:00:00,8.90,5.50
2019-02-07 12:00:00,8.89,3.54
2019-03-03 00:00:00,3.24,1.68
2019-03-06 12:00:00,8.51,3.60
2019-02-17 06:00:00,11.01,4.03
2019-03-26 06:00:00,6.87,2.40
2019-03-31 06:00:00,13.11,5.98
2019-03-30 00:00:00,3.95,4.75
2019-02-14 06:00:00,7.24,1.01
2019-03-12 18:00:00,6.51,5.28
2019-03-19 18:00:00,6.03,2.27
2019-02-21 12:00:00,6.99,4.53
2019-03-07 18:00:00,12.28,4.28
2019-03-14 00:00:00,4.54,1.92
2019-01-18 12:00:00,8.77,2.39
2019-02-10 12:00:00,8.72,2.61
2019-01-14 06:00:00,8.15,3.24
2019-01-22 18:00:00,6.61,2.45
2019-02-15 06:00:00,2.71,1.72
2019-03-01 18:00:00,7.11,2.81
2019-02-01 12:00:00,10.77,1.97
2019-01-23 00:00:00,7.04,1.99
2019-03-11 12:00:00,3.82,2.96
2019-02-22 00:00:00,5.78,4.20
2019-01-13 18:00:00,10.38,3.36
2019-03-17 00:00:00,6.69,4.41
2019-01-04 06:00:00,5.71,2.99
2019-01-31 18:00:00,10.73,2.92
2019-03-10 06:00:00,2.21,0.18
2019-03-31 12:00:00,12.81,3.11
2019-03-06 00:00:00,3.04,1.01
2019-02-21 18:00:00,8.21,3.81
2019-02-01 06:00:00,8.27,3.31
2019-03-21 12:00:00,4.54,2.13
2019-02-18 12:00:00,2.24,3.13
2019-01-29 00:00:00,8.28,0.50
2019-01-11 18:00:00,0.71,1.54
2019-01-01 06:00:00,15.56,4.23
2019-02-12 00:00:00,8.35,3.71
2019-01-26 12:00:00,11.51,2.99
2019-03-05 18:00:00,2.22,1.77
2019-03-30 12:00:00,6.49,5.09
2019-03-10 12:00:00,3.79,1.92
2019-03-25 12:00:00,3.78,2.95
2019-02-06 06:00:00,2.05,2.03
2019-02-07 18:00:00,8.89,4.63
2019-03-30 18:00:00,10.49,5.18
2019-03-14 12:00:00,10.14,3.34
