,spd70,end_var
2019-03-01 06:00:00,5.97,2.00
2019-03-01 12:00:00,8.04,2.29
2019-03-01 18:00:00,7.11,3.46
2019-03-02 00:00:00,4.41,3.52
2019-03-02 06:00:00,1.98,6.09
2019-03-02 12:00:00,1.04,4.71
2019-03-02 18:00:00,1.43,4.39
2019-03-03 00:00:00,3.24,3.64
2019-03-03 06:00:00,4.32,2.45
2019-03-03 12:00:00,1.93,1.58
2019-03-03 18:00:00,5.43,2.10
2019-03-04 00:00:00,6.08,1.01
2019-03-04 06:00:00,6.18,4.85
2019-03-04 12:00:00,8.66,3.77
2019-03-04 18:00:00,8.64,4.31
2019-03-05 00:00:00,10.24,3.42
2019-03-05 06:00:00,11.37,4.10
2019-03-05 12:00:00,2.51,4.02
2019-03-05 18:00:00,2.22,3.06
2019-03-06 00:00:00,3.04,1.97
2019-03-06 06:00:00,2.14,2.96
2019-03-06 12:00:00,8.51,3.71
2019-03-06 18:00:00,11.23,3.36
2019-03-07 00:00:00,8.90,4.50
2019-03-07 06:00:00,11.06,4.49
2019-03-07 12:00:00,10.66,4.92
2019-03-07 18:00:00,12.28,3.96
2019-03-08 00:00:00,12.79,3.86
2019-03-08 06:00:00,10.10,4.70
2019-03-08 12:00:00,10.78,2.49
2019-03-08 18:00:00,9.55,2.40
2019-03-09 00:00:00,9.28,2.08
2019-03-09 06:00:00,5.35,2.68
2019-03-09 12:00:00,2.59,2.14
2019-03-09 18:00:00,4.23,2.56
2019-03-10 00:00:00,3.12,2.74
2019-03-10 06:00:00,2.21,3.86
2019-03-10 12:00:00,3.79,3.16
2019-03-10 18:00:00,5.79,3.41
2019-03-11 00:00:00,6.15,1.64
2019-03-11 06:00:00,3.64,1.42
2019-03-11 12:00:00,3.82,2.95
2019-03-11 18:00:00,5.67,1.79
2019-03-12 00:00:00,5.35,1.58
2019-03-12 06:00:00,4.39,1.88
2019-03-12 12:00:00,3.45,3.29
2019-03-12 18:00:00,6.51,1.65
2019-03-13 00:00:00,7.88,0.96
2019-03-13 06:00:00,10.46,2.91
2019-03-13 12:00:00,11.47,3.38
2019-03-13 18:00:00,9.06,3.49
2019-03-14 00:00:00,4.54,3.22
2019-03-14 06:00:00,6.67,1.15
2019-03-14 12:00:00,10.14,3.25
2019-03-14 18:00:00,8.54,1.46
2019-03-15 00:00:00,6.78,2.07
2019-03-15 06:00:00,8.80,1.75
2019-03-15 12:00:00,5.29,3.63
2019-03-15 18:00:00,8.90,4.66
2019-03-16 00:00:00,10.42,6.06
2019-03-16 06:00:00,11.43,11.33
2019-03-16 12:00:00,9.68,4.42
2019-03-16 18:00:00,6.75,6.35
2019-03-17 00:00:00,6.69,6.92
2019-03-17 06:00:00,5.92,9.47
2019-03-17 12:00:00,8.30,4.75
2019-03-17 18:00:00,7.32,2.93
2019-03-18 00:00:00,2.46,2.88
2019-03-18 06:00:00,2.61,6.85
2019-03-18 12:00:00,0.45,6.80
2019-03-18 18:00:00,1.81,5.02
2019-03-19 00:00:00,4.31,4.80
2019-03-19 06:00:00,5.26,10.84
2019-03-19 12:00:00,5.84,4.92
2019-03-19 18:00:00,6.03,2.49
2019-03-20 00:00:00,2.09,1.28
2019-03-20 06:00:00,4.18,1.78
2019-03-20 12:00:00,7.58,2.99
2019-03-20 18:00:00,8.49,3.61
2019-03-21 00:00:00,7.97,3.47
2019-03-21 06:00:00,6.77,5.38
2019-03-21 12:00:00,4.54,4.07
2019-03-21 18:00:00,11.12,3.31
2019-03-22 00:00:00,10.70,2.21
2019-03-22 06:00:00,12.56,8.65
2019-03-22 12:00:00,11.33,3.77
2019-03-22 18:00:00,12.09,4.64
2019-03-23 00:00:00,11.33,4.92
2019-03-23 06:00:00,11.87,7.41
2019-03-23 12:00:00,13.61,4.46
2019-03-23 18:00:00,11.36,2.93
2019-03-24 00:00:00,11.49,1.78
2019-03-24 06:00:00,10.22,1.72
2019-03-24 12:00:00,9.53,1.45
2019-03-24 18:00:00,7.37,1.85
2019-03-25 00:00:00,5.31,1.03
2019-03-25 06:00:00,1.49,3.34
2019-03-25 12:00:00,3.78,3.06
2019-03-25 18:00:00,8.68,2.17
2019-03-26 00:00:00,7.43,2.43
2019-03-26 06:00:00,6.87,4.20
2019-03-26 12:00:00,5.65,2.20
2019-03-26 18:00:00,7.48,1.93
2019-03-27 00:00:00,1.07,0.74
2019-03-27 06:00:00,3.88,2.42
2019-03-27 12:00:00,6.30,2.89
2019-03-27 18:00:00,6.33,1.93
2019-03-28 00:00:00,6.89,1.72
2019-03-28 06:00:00,8.06,2.29
2019-03-28 12:00:00,9.56,2.63
2019-03-28 18:00:00,3.62,0.64
2019-03-29 00:00:00,6.54,5.80
2019-03-29 06:00:00,4.23,9.76
2019-03-29 12:00:00,7.10,5.78
2019-03-29 18:00:00,6.40,4.52
2019-03-30 00:00:00,3.95,4.80
2019-03-30 06:00:00,3.66,7.63
2019-03-30 12:00:00,6.49,6.70
2019-03-30 18:00:00,10.49,5.57
2019-03-31 00:00:00,13.23,7.14
2019-03-31 06:00:00,13.11,4.34
2019-03-31 12:00:00,12.81,4.42
2019-03-31 18:00:00,11.12,2.85
2019-04-01 00:00:00,11.52,3.18
2019-04-01 06:00:00,11.20,2.89
2019-04-01 12:00:00,10.04,4.11
2019-04-01 18:00:00,9.87,3.52
2019-04-02 00:00:00,7.79,3.96
2019-04-02 06:00:00,6.48,3.18
2019-04-02 12:00:00,6.17,2.24
2019-04-02 18:00:00,6.23,1.32
2019-04-03 00:00:00,7.87,1.88
2019-04-03 12:00:00,11.11,2.91
2019-04-03 18:00:00,10.00,2.31
2019-04-04 00:00:00,8.36,3.21
2019-04-04 06:00:00,5.68,3.31
2019-04-04 12:00:00,2.79,1.92
2019-04-04 18:00:00,1.95,2.65
2019-04-05 00:00:00,1.83,1.35
2019-04-05 06:00:00,2.26,2.60
2019-04-05 12:00:00,4.72,3.36
2019-04-05 18:00:00,3.80,3.61
2019-04-06 00:00:00,1.08,4.99
2019-04-06 06:00:00,3.73,5.12
2019-04-06 12:00:00,5.42,3.84
2019-04-06 18:00:00,6.03,5.38
2019-04-07 00:00:00,2.57,5.37
2019-04-07 06:00:00,2.85,5.20
2019-04-07 12:00:00,3.06,5.20
2019-04-07 18:00:00,3.83,4.64
2019-04-08 00:00:00,1.56,4.64
2019-04-08 06:00:00,3.22,7.02
2019-04-08 12:00:00,5.07,5.85
2019-04-08 18:00:00,7.82,4.88
2019-04-09 00:00:00,6.36,2.71
2019-04-09 06:00:00,8.25,4.31
2019-04-09 12:00:00,5.53,2.50
2019-04-09 18:00:00,7.03,2.34
2019-04-10 00:00:00,2.22,1.28
2019-04-10 06:00:00,6.66,3.84
2019-04-10 12:00:00,9.12,4.38
2019-04-10 18:00:00,10.47,2.38
2019-04-11 00:00:00,7.27,2.18
2019-04-11 06:00:00,4.39,1.93
2019-04-11 12:00:00,9.08,1.92
2019-04-11 18:00:00,7.54,1.67
2019-04-12 00:00:00,9.92,1.63
2019-04-12 06:00:00,8.82,3.95
2019-04-12 12:00:00,9.59,2.29
2019-04-12 18:00:00,8.08,1.61
2019-04-13 00:00:00,6.43,1.25
2019-04-13 06:00:00,4.06,3.04
2019-04-13 12:00:00,3.44,3.07
2019-04-13 18:00:00,2.84,0.89
2019-04-14 00:00:00,3.36,2.24
2019-04-14 06:00:00,1.31,2.10
2019-04-14 12:00:00,10.20,1.93
2019-04-14 18:00:00,11.46,2.43
2019-04-15 00:00:00,12.48,1.17
2019-04-15 06:00:00,10.40,3.39
2019-04-15 12:00:00,8.71,4.59
2019-04-15 18:00:00,9.71,2.71
