,spd70,end_var
2019-03-01 06:00:00,5.97,2.27
2019-03-01 12:00:00,8.04,3.16
2019-03-01 18:00:00,7.11,5.03
2019-03-02 00:00:00,4.41,6.17
2019-03-02 06:00:00,1.98,6.16
2019-03-02 12:00:00,1.04,5.34
2019-03-02 18:00:00,1.43,4.88
2019-03-03 00:00:00,3.24,4.30
2019-03-03 06:00:00,4.32,2.96
2019-03-03 12:00:00,1.93,1.00
2019-03-03 18:00:00,5.43,1.96
2019-03-04 00:00:00,6.08,2.32
2019-03-04 06:00:00,6.18,3.47
2019-03-04 12:00:00,8.66,5.48
2019-03-04 18:00:00,8.64,5.48
2019-03-05 00:00:00,10.24,4.11
2019-03-05 06:00:00,11.37,3.78
2019-03-05 12:00:00,2.51,2.50
2019-03-05 18:00:00,2.22,2.96
2019-03-06 00:00:00,3.04,2.63
2019-03-06 06:00:00,2.14,3.28
2019-03-06 12:00:00,8.51,3.17
2019-03-06 18:00:00,11.23,3.50
2019-03-07 00:00:00,8.90,3.70
2019-03-07 06:00:00,11.06,3.82
2019-03-07 12:00:00,10.66,5.57
2019-03-07 18:00:00,12.28,6.16
2019-03-08 00:00:00,12.79,4.82
2019-03-08 06:00:00,10.10,5.57
2019-03-08 12:00:00,10.78,2.70
2019-03-08 18:00:00,9.55,1.65
2019-03-09 00:00:00,9.28,2.96
2019-03-09 06:00:00,5.35,2.74
2019-03-09 12:00:00,2.59,2.78
2019-03-09 18:00:00,4.23,2.49
2019-03-10 00:00:00,3.12,2.61
2019-03-10 06:00:00,2.21,1.25
2019-03-10 12:00:00,3.79,1.22
2019-03-10 18:00:00,5.79,3.18
2019-03-11 00:00:00,6.15,3.29
2019-03-11 06:00:00,3.64,4.45
2019-03-11 12:00:00,3.82,3.03
2019-03-11 18:00:00,5.67,3.56
2019-03-12 00:00:00,5.35,3.21
2019-03-12 06:00:00,4.39,3.61
2019-03-12 12:00:00,3.45,2.96
2019-03-12 18:00:00,6.51,2.88
2019-03-13 00:00:00,7.88,3.61
2019-03-13 06:00:00,10.46,2.50
2019-03-13 12:00:00,11.47,3.75
2019-03-13 18:00:00,9.06,1.86
2019-03-14 00:00:00,4.54,3.34
