,spd70,end_var
2019-03-01 06:00:00,5.97,1.86
2019-03-01 12:00:00,8.04,2.18
2019-03-01 18:00:00,7.11,3.74
2019-03-02 00:00:00,4.41,4.75
2019-03-02 06:00:00,1.98,6.78
2019-03-02 12:00:00,1.04,6.70
2019-03-02 18:00:00,1.43,5.30
2019-03-03 00:00:00,3.24,3.39
2019-03-03 06:00:00,4.32,3.82
2019-03-03 12:00:00,1.93,3.02
2019-03-03 18:00:00,5.43,3.39
2019-03-04 00:00:00,6.08,3.88
2019-03-04 06:00:00,6.18,4.21
2019-03-04 12:00:00,8.66,5.14
2019-03-04 18:00:00,8.64,4.43
2019-03-05 00:00:00,10.24,4.63
2019-03-05 06:00:00,11.37,5.41
2019-03-05 12:00:00,2.51,1.99
2019-03-05 18:00:00,2.22,1.50
2019-03-06 00:00:00,3.04,0.43
2019-03-06 06:00:00,2.14,1.50
2019-03-06 12:00:00,8.51,0.71
2019-03-06 18:00:00,11.23,2.29
2019-03-07 00:00:00,8.90,3.75
2019-03-07 06:00:00,11.06,5.10
2019-03-07 12:00:00,10.66,5.75
2019-03-07 18:00:00,12.28,3.60
2019-03-08 00:00:00,12.79,3.11
2019-03-08 06:00:00,10.10,2.82
2019-03-08 12:00:00,10.78,2.60
2019-03-08 18:00:00,9.55,2.93
2019-03-09 00:00:00,9.28,3.20
2019-03-09 06:00:00,5.35,1.57
2019-03-09 12:00:00,2.59,3.54
2019-03-09 18:00:00,4.23,2.57
2019-03-10 00:00:00,3.12,2.38
2019-03-10 06:00:00,2.21,0.47
2019-03-10 12:00:00,3.79,1.63
2019-03-10 18:00:00,5.79,2.64
2019-03-11 00:00:00,6.15,2.20
2019-03-11 06:00:00,3.64,0.90
2019-03-11 12:00:00,3.82,3.22
2019-03-11 18:00:00,5.67,2.57
2019-03-12 00:00:00,5.35,3.41
2019-03-12 06:00:00,4.39,9.30
2019-03-12 12:00:00,3.45,3.00
2019-03-12 18:00:00,6.51,2.02
2019-03-13 00:00:00,7.88,1.10
2019-03-13 06:00:00,10.46,1.92
2019-03-13 12:00:00,11.47,3.46
2019-03-13 18:00:00,9.06,0.22
2019-03-14 00:00:00,4.54,2.99
2019-03-14 06:00:00,6.67,5.13
2019-03-14 12:00:00,10.14,4.88
2019-03-14 18:00:00,8.54,4.10
2019-03-15 00:00:00,6.78,4.16
2019-03-15 06:00:00,8.80,2.60
2019-03-15 12:00:00,5.29,3.00
2019-03-15 18:00:00,8.90,2.91
2019-03-16 00:00:00,10.42,1.46
2019-03-16 06:00:00,11.43,8.63
2019-03-16 12:00:00,9.68,4.70
2019-03-16 18:00:00,6.75,3.77
2019-03-17 00:00:00,6.69,2.85
2019-03-17 06:00:00,5.92,2.28
2019-03-17 12:00:00,8.30,3.73
2019-03-17 18:00:00,7.32,1.24
2019-03-18 00:00:00,2.46,2.46
2019-03-18 06:00:00,2.61,3.92
2019-03-18 12:00:00,0.45,2.18
2019-03-18 18:00:00,1.81,1.68
2019-03-19 00:00:00,4.31,2.79
2019-03-19 06:00:00,5.26,1.03
2019-03-19 12:00:00,5.84,2.35
2019-03-19 18:00:00,6.03,1.68
2019-03-20 00:00:00,2.09,1.45
2019-03-20 06:00:00,4.18,2.18
2019-03-20 12:00:00,7.58,2.21
2019-03-20 18:00:00,8.49,2.63
2019-03-21 00:00:00,7.97,3.93
2019-03-21 06:00:00,6.77,7.10
2019-03-21 12:00:00,4.54,2.10
2019-03-21 18:00:00,11.12,4.48
2019-03-22 00:00:00,10.70,5.49
2019-03-22 06:00:00,12.56,6.94
2019-03-22 12:00:00,11.33,2.89
2019-03-22 18:00:00,12.09,3.60
2019-03-23 00:00:00,11.33,11.87
2019-03-23 06:00:00,11.87,7.69
2019-03-23 12:00:00,13.61,7.02
2019-03-23 18:00:00,11.36,4.36
2019-03-24 00:00:00,11.49,3.38
2019-03-24 06:00:00,10.22,4.74
2019-03-24 12:00:00,9.53,5.09
2019-03-24 18:00:00,7.37,5.03
2019-03-25 00:00:00,5.31,4.34
2019-03-25 06:00:00,1.49,3.38
2019-03-25 12:00:00,3.78,1.26
2019-03-25 18:00:00,8.68,1.67
2019-03-26 00:00:00,7.43,1.45
