,spd70,end_var
2019-03-01 06:00:00,5.97,2.59
2019-03-01 12:00:00,8.04,2.47
2019-03-01 18:00:00,7.11,4.16
2019-03-02 00:00:00,4.41,5.56
2019-03-02 06:00:00,1.98,6.32
2019-03-02 12:00:00,1.04,4.32
2019-03-02 18:00:00,1.43,4.53
2019-03-03 00:00:00,3.24,4.09
2019-03-03 06:00:00,4.32,2.13
2019-03-03 12:00:00,1.93,1.29
2019-03-03 18:00:00,5.43,2.72
2019-03-04 00:00:00,6.08,2.04
2019-03-04 06:00:00,6.18,5.34
2019-03-04 12:00:00,8.66,5.25
2019-03-04 18:00:00,8.64,5.92
2019-03-05 00:00:00,10.24,3.42
2019-03-05 06:00:00,11.37,4.93
2019-03-05 12:00:00,2.51,5.98
2019-03-05 18:00:00,2.22,3.89
2019-03-06 00:00:00,3.04,4.92
2019-03-06 06:00:00,2.14,4.66
2019-03-06 12:00:00,8.51,3.07
2019-03-06 18:00:00,11.23,2.91
2019-03-07 00:00:00,8.90,3.86
2019-03-07 06:00:00,11.06,4.67
2019-03-07 12:00:00,10.66,6.99
2019-03-07 18:00:00,12.28,6.89
2019-03-08 00:00:00,12.79,7.49
2019-03-08 06:00:00,10.10,5.56
2019-03-08 12:00:00,10.78,4.50
2019-03-08 18:00:00,9.55,2.89
2019-03-09 00:00:00,9.28,2.81
2019-03-09 06:00:00,5.35,4.32
2019-03-09 12:00:00,2.59,2.97
2019-03-09 18:00:00,4.23,2.46
2019-03-10 00:00:00,3.12,1.70
2019-03-10 06:00:00,2.21,1.17
2019-03-10 12:00:00,3.79,1.26
2019-03-10 18:00:00,5.79,0.46
2019-03-11 00:00:00,6.15,2.81
2019-03-11 06:00:00,3.64,1.45
2019-03-11 12:00:00,3.82,2.68
2019-03-11 18:00:00,5.67,2.99
2019-03-12 00:00:00,5.35,3.89
2019-03-12 06:00:00,4.39,3.61
2019-03-12 12:00:00,3.45,3.53
2019-03-12 18:00:00,6.51,3.04
2019-03-13 00:00:00,7.88,4.64
2019-03-13 06:00:00,10.46,5.16
2019-03-13 12:00:00,11.47,2.89
2019-03-13 18:00:00,9.06,6.35
2019-03-14 00:00:00,4.54,5.25
2019-03-14 06:00:00,6.67,5.20
2019-03-14 12:00:00,10.14,3.43
2019-03-14 18:00:00,8.54,3.41
2019-03-15 00:00:00,6.78,9.33
2019-03-15 06:00:00,8.80,8.51
2019-03-15 12:00:00,5.29,4.93
2019-03-15 18:00:00,8.90,2.64
2019-03-16 00:00:00,10.42,3.04
2019-03-16 06:00:00,11.43,2.95
2019-03-16 12:00:00,9.68,1.81
2019-03-16 18:00:00,6.75,2.65
2019-03-17 00:00:00,6.69,4.67
2019-03-17 06:00:00,5.92,3.24
2019-03-17 12:00:00,8.30,3.16
2019-03-17 18:00:00,7.32,2.32
2019-03-18 00:00:00,2.46,1.79
2019-03-18 06:00:00,2.61,1.88
2019-03-18 12:00:00,0.45,2.84
2019-03-18 18:00:00,1.81,2.92
2019-03-19 00:00:00,4.31,10.91
2019-03-19 06:00:00,5.26,12.29
2019-03-19 12:00:00,5.84,6.84
2019-03-19 18:00:00,6.03,4.18
2019-03-20 00:00:00,2.09,2.47
2019-03-20 06:00:00,4.18,1.86
2019-03-20 12:00:00,7.58,1.95
2019-03-20 18:00:00,8.49,2.20
2019-03-21 00:00:00,7.97,3.09
2019-03-21 06:00:00,6.77,5.16
2019-03-21 12:00:00,4.54,4.16
2019-03-21 18:00:00,11.12,2.47
2019-03-22 00:00:00,10.70,2.92
2019-03-22 06:00:00,12.56,3.27
2019-03-22 12:00:00,11.33,3.88
2019-03-22 18:00:00,12.09,3.34
2019-03-23 00:00:00,11.33,3.46
2019-03-23 06:00:00,11.87,2.70
2019-03-23 12:00:00,13.61,3.38
2019-03-23 18:00:00,11.36,3.82
2019-03-24 00:00:00,11.49,4.99
2019-03-24 06:00:00,10.22,4.32
2019-03-24 12:00:00,9.53,5.70
2019-03-24 18:00:00,7.37,5.02
2019-03-25 00:00:00,5.31,4.30
2019-03-25 06:00:00,1.49,4.45
2019-03-25 12:00:00,3.78,3.89
2019-03-25 18:00:00,8.68,3.82
2019-03-26 00:00:00,7.43,3.18
2019-03-26 06:00:00,6.87,3.43
2019-03-26 12:00:00,5.65,3.14
2019-03-26 18:00:00,7.48,2.84
2019-03-27 00:00:00,1.07,2.70
2019-03-27 06:00:00,3.88,4.20
2019-03-27 12:00:00,6.30,3.06
2019-03-27 18:00:00,6.33,3.07
2019-03-28 00:00:00,6.89,2.11
2019-03-28 06:00:00,8.06,4.99
2019-03-28 12:00:00,9.56,5.00
2019-03-28 18:00:00,3.62,6.31
2019-03-29 00:00:00,6.54,2.99
2019-03-29 06:00:00,4.23,0.10
2019-03-29 12:00:00,7.10,1.68
2019-03-29 18:00:00,6.40,2.04
2019-03-30 00:00:00,3.95,0.61
2019-03-30 06:00:00,3.66,2.22
2019-03-30 12:00:00,6.49,1.65
2019-03-30 18:00:00,10.49,3.31
2019-03-31 00:00:00,13.23,3.79
2019-03-31 06:00:00,13.11,4.80
2019-03-31 12:00:00,12.81,2.75
2019-03-31 18:00:00,11.12,2.71
2019-04-01 00:00:00,11.52,5.95
2019-04-01 06:00:00,11.20,7.58
2019-04-01 12:00:00,10.04,5.50
2019-04-01 18:00:00,9.87,4.57
2019-04-02 00:00:00,7.79,3.54
2019-04-02 06:00:00,6.48,5.18
2019-04-02 12:00:00,6.17,3.93
2019-04-02 18:00:00,6.23,2.47
2019-04-03 00:00:00,7.87,1.71
2019-04-03 12:00:00,11.11,3.49
2019-04-03 18:00:00,10.00,2.59
2019-04-04 00:00:00,8.36,1.58
2019-04-04 06:00:00,5.68,1.83
2019-04-04 12:00:00,2.79,2.24
2019-04-04 18:00:00,1.95,2.65
2019-04-05 00:00:00,1.83,3.49
2019-04-05 06:00:00,2.26,4.30
2019-04-05 12:00:00,4.72,2.77
2019-04-05 18:00:00,3.80,2.56
2019-04-06 00:00:00,1.08,2.82
2019-04-06 06:00:00,3.73,5.37
2019-04-06 12:00:00,5.42,5.41
2019-04-06 18:00:00,6.03,1.90
2019-04-07 00:00:00,2.57,3.18
2019-04-07 06:00:00,2.85,1.93
2019-04-07 12:00:00,3.06,3.31
2019-04-07 18:00:00,3.83,4.41
2019-04-08 00:00:00,1.56,3.59
2019-04-08 06:00:00,3.22,4.50
2019-04-08 12:00:00,5.07,3.28
2019-04-08 18:00:00,7.82,2.20
2019-04-09 00:00:00,6.36,4.17
2019-04-09 06:00:00,8.25,1.99
2019-04-09 12:00:00,5.53,3.56
2019-04-09 18:00:00,7.03,5.28
2019-04-10 00:00:00,2.22,4.28
2019-04-10 06:00:00,6.66,7.39
2019-04-10 12:00:00,9.12,7.10
2019-04-10 18:00:00,10.47,5.39
2019-04-11 00:00:00,7.27,2.07
2019-04-11 06:00:00,4.39,1.10
2019-04-11 12:00:00,9.08,1.31
2019-04-11 18:00:00,7.54,1.90
2019-04-12 00:00:00,9.92,1.01
2019-04-12 06:00:00,8.82,2.57
2019-04-12 12:00:00,9.59,2.22
2019-04-12 18:00:00,8.08,1.46
2019-04-13 00:00:00,6.43,4.20
2019-04-13 06:00:00,4.06,7.09
2019-04-13 12:00:00,3.44,0.68
2019-04-13 18:00:00,2.84,1.57
2019-04-14 00:00:00,3.36,2.74
2019-04-14 06:00:00,1.31,5.80
2019-04-14 12:00:00,10.20,7.52
2019-04-14 18:00:00,11.46,3.27
2019-04-15 00:00:00,12.48,2.45
2019-04-15 06:00:00,10.40,3.78
2019-04-15 12:00:00,8.71,4.59
2019-04-15 18:00:00,9.71,5.09
2019-04-16 00:00:00,5.57,4.84
2019-04-16 06:00:00,1.17,7.08
2019-04-16 12:00:00,1.41,5.39
2019-04-16 18:00:00,2.83,3.64
2019-04-17 00:00:00,1.64,2.45
2019-04-17 06:00:00,3.75,1.52
2019-04-17 12:00:00,5.17,2.31
2019-04-17 18:00:00,4.43,3.25
2019-04-18 00:00:00,2.43,3.45
2019-04-18 06:00:00,2.17,7.83
2019-04-18 12:00:00,1.53,2.21
2019-04-18 18:00:00,3.74,2.43
2019-04-19 00:00:00,1.64,1.08
2019-04-19 06:00:00,2.29,4.18
2019-04-19 12:00:00,3.92,4.38
2019-04-19 18:00:00,0.54,3.22
2019-04-20 00:00:00,1.23,4.59
2019-04-20 06:00:00,0.98,5.12
2019-04-20 12:00:00,1.21,6.06
2019-04-20 18:00:00,2.47,5.05
2019-04-21 00:00:00,0.82,4.16
2019-04-21 06:00:00,3.61,4.93
2019-04-21 12:00:00,5.27,4.68
2019-04-21 18:00:00,6.48,2.50
2019-04-22 00:00:00,2.52,0.43
2019-04-22 06:00:00,5.53,7.87
2019-04-22 12:00:00,6.25,8.47
2019-04-22 18:00:00,2.79,12.43
2019-04-23 00:00:00,0.91,8.73
2019-04-23 06:00:00,4.62,5.25
2019-04-23 12:00:00,6.83,1.11
2019-04-23 18:00:00,6.31,2.72
2019-04-24 00:00:00,1.37,1.53
2019-04-24 06:00:00,7.92,2.63
2019-04-24 12:00:00,6.19,3.49
2019-04-24 18:00:00,2.55,2.52
2019-04-25 00:00:00,3.85,2.50
2019-04-25 06:00:00,7.46,2.93
2019-04-25 12:00:00,4.04,6.30
2019-04-25 18:00:00,5.93,2.84
2019-04-26 00:00:00,5.29,1.82
2019-04-26 06:00:00,6.82,2.67
2019-04-26 12:00:00,6.51,2.77
2019-04-26 18:00:00,11.47,2.72
2019-04-27 00:00:00,10.95,3.20
2019-04-27 06:00:00,11.56,5.17
2019-04-27 12:00:00,9.42,3.79
2019-04-27 18:00:00,6.68,3.78
2019-04-28 00:00:00,3.48,2.43
2019-04-28 06:00:00,1.05,3.06
2019-04-28 12:00:00,2.43,0.26
2019-04-28 18:00:00,2.53,1.83
2019-04-29 00:00:00,1.74,1.85
2019-04-29 06:00:00,3.48,5.81
2019-04-29 12:00:00,6.08,8.31
